Algorithm,Cluster,Cancer Type,Proportion
gmm,0,breast invasive carcinoma,0.1577
gmm,0,lung adenocarcinoma,1.735
gmm,0,thymoma,1.4196
gmm,0,esophageal carcinoma,10.4101
gmm,0,stomach adenocarcinoma,0.1577
gmm,7,bladder urothelial carcinoma,0.9188
gmm,7,uterine corpus endometrioid carcinoma,81.7764
gmm,7,skin cutaneous melanoma,0.1531
gmm,7,head & neck squamous cell carcinoma,0.3063
gmm,7,sarcoma,2.9096
gmm,7,cervical & endocervical cancer,2.144
gmm,7,lung squamous cell carcinoma,0.9188
gmm,7,breast invasive carcinoma,0.4594
gmm,7,uterine carcinosarcoma,8.4227
gmm,7,lung adenocarcinoma,0.6126
gmm,7,ovarian serous cystadenocarcinoma,1.2251
gmm,7,esophageal carcinoma,0.1531
gmm,10,bladder urothelial carcinoma,0.4274
gmm,10,skin cutaneous melanoma,97.0085
gmm,10,head & neck squamous cell carcinoma,0.2137
gmm,10,pancreatic adenocarcinoma,0.2137
gmm,10,sarcoma,1.0684
gmm,10,lung squamous cell carcinoma,0.2137
gmm,10,glioblastoma multiforme,0.2137
gmm,10,thymoma,0.2137
gmm,10,cholangiocarcinoma,0.2137
gmm,10,esophageal carcinoma,0.2137
gmm,27,bladder urothelial carcinoma,0.369
gmm,27,uterine corpus endometrioid carcinoma,0.5535
gmm,27,pancreatic adenocarcinoma,32.6568
gmm,27,sarcoma,0.369
gmm,27,cervical & endocervical cancer,0.1845
gmm,27,colon adenocarcinoma,1.107
gmm,27,lung squamous cell carcinoma,0.369
gmm,27,liver hepatocellular carcinoma,0.369
gmm,27,lung adenocarcinoma,0.1845
gmm,27,pheochromocytoma & paraganglioma,0.1845
gmm,27,testicular germ cell tumor,0.1845
gmm,27,cholangiocarcinoma,0.738
gmm,27,esophageal carcinoma,10.8856
gmm,27,stomach adenocarcinoma,51.6605
gmm,27,ovarian serous cystadenocarcinoma,0.1845
gmm,1,bladder urothelial carcinoma,0.125
gmm,1,pancreatic adenocarcinoma,0.375
gmm,1,cervical & endocervical cancer,0.375
gmm,1,colon adenocarcinoma,55.875
gmm,1,rectum adenocarcinoma,20.0
gmm,1,stomach adenocarcinoma,18.75
gmm,1,esophageal carcinoma,4.5
gmm,29,diffuse large B-cell lymphoma,97.9592
gmm,29,stomach adenocarcinoma,2.0408
gmm,25,uterine corpus endometrioid carcinoma,7.3846
gmm,25,cervical & endocervical cancer,0.3077
gmm,25,ovarian serous cystadenocarcinoma,92.0
gmm,25,uterine carcinosarcoma,0.3077
gmm,4,skin cutaneous melanoma,0.0983
gmm,4,head & neck squamous cell carcinoma,0.59
gmm,4,breast invasive carcinoma,99.2134
gmm,4,thymoma,0.0983
gmm,24,skin cutaneous melanoma,5.814
gmm,24,brain lower grade glioma,1.1628
gmm,24,uveal melanoma,93.0233
gmm,9,skin cutaneous melanoma,0.3067
gmm,9,sarcoma,0.1534
gmm,9,lung squamous cell carcinoma,13.4969
gmm,9,lung adenocarcinoma,85.5828
gmm,9,mesothelioma,0.3067
gmm,9,stomach adenocarcinoma,0.1534
gmm,3,prostate adenocarcinoma,100.0
gmm,28,prostate adenocarcinoma,6.3063
gmm,28,kidney papillary cell carcinoma,10.8108
gmm,28,kidney clear cell carcinoma,11.7117
gmm,28,testicular germ cell tumor,71.1712
gmm,12,kidney papillary cell carcinoma,93.8849
gmm,12,kidney clear cell carcinoma,6.1151
gmm,5,kidney papillary cell carcinoma,1.2295
gmm,5,kidney clear cell carcinoma,98.7705
gmm,13,kidney papillary cell carcinoma,26.9504
gmm,13,sarcoma,0.7092
gmm,13,kidney clear cell carcinoma,51.773
gmm,13,kidney chromophobe,20.5674
gmm,19,kidney papillary cell carcinoma,2.5641
gmm,19,kidney clear cell carcinoma,20.5128
gmm,19,kidney chromophobe,76.9231
gmm,21,cervical & endocervical cancer,0.5435
gmm,21,breast invasive carcinoma,98.913
gmm,21,esophageal carcinoma,0.5435
gmm,26,colon adenocarcinoma,80.3922
gmm,26,rectum adenocarcinoma,19.6078
gmm,8,rectum adenocarcinoma,0.2179
gmm,8,kidney clear cell carcinoma,0.2179
gmm,8,liver hepatocellular carcinoma,90.8497
gmm,8,cholangiocarcinoma,8.7146
gmm,20,breast invasive carcinoma,100.0
gmm,6,glioblastoma multiforme,24.212
gmm,6,brain lower grade glioma,75.788
gmm,2,thyroid carcinoma,100.0
gmm,30,thyroid carcinoma,100.0
gmm,15,pheochromocytoma & paraganglioma,100.0
gmm,14,testicular germ cell tumor,100.0
gmm,22,thymoma,100.0
gmm,23,thymoma,100.0
gmm,11,acute myeloid leukemia,100.0
dbscan,0,adrenocortical cancer,95.0
dbscan,0,pheochromocytoma & paraganglioma,5.0
dbscan,1,adrenocortical cancer,0.9901
dbscan,1,bladder urothelial carcinoma,4.9505
dbscan,1,skin cutaneous melanoma,3.4653
dbscan,1,head & neck squamous cell carcinoma,1.9802
dbscan,1,pancreatic adenocarcinoma,0.495
dbscan,1,sarcoma,76.7327
dbscan,1,kidney clear cell carcinoma,1.9802
dbscan,1,liver hepatocellular carcinoma,0.9901
dbscan,1,breast invasive carcinoma,2.4752
dbscan,1,uterine carcinosarcoma,0.495
dbscan,1,kidney chromophobe,0.9901
dbscan,1,lung adenocarcinoma,0.495
dbscan,1,mesothelioma,2.4752
dbscan,1,thymoma,0.495
dbscan,1,colon adenocarcinoma,0.495
dbscan,1,stomach adenocarcinoma,0.495
dbscan,2,bladder urothelial carcinoma,22.5624
dbscan,2,uterine corpus endometrioid carcinoma,0.0567
dbscan,2,skin cutaneous melanoma,0.0567
dbscan,2,head & neck squamous cell carcinoma,31.2358
dbscan,2,kidney papillary cell carcinoma,0.2268
dbscan,2,pancreatic adenocarcinoma,0.0567
dbscan,2,cervical & endocervical cancer,13.0952
dbscan,2,lung squamous cell carcinoma,25.6236
dbscan,2,breast invasive carcinoma,0.2268
dbscan,2,lung adenocarcinoma,0.5669
dbscan,2,thymoma,0.4535
dbscan,2,esophageal carcinoma,5.3855
dbscan,2,stomach adenocarcinoma,0.4535
dbscan,3,bladder urothelial carcinoma,29.4118
dbscan,3,sarcoma,11.7647
dbscan,3,esophageal carcinoma,11.7647
dbscan,3,stomach adenocarcinoma,47.0588
dbscan,4,bladder urothelial carcinoma,18.75
dbscan,4,head & neck squamous cell carcinoma,6.25
dbscan,4,cervical & endocervical cancer,18.75
dbscan,4,lung squamous cell carcinoma,25.0
dbscan,4,lung adenocarcinoma,6.25
dbscan,4,uterine corpus endometrioid carcinoma,18.75
dbscan,4,stomach adenocarcinoma,6.25
dbscan,5,bladder urothelial carcinoma,0.6403
dbscan,5,uterine corpus endometrioid carcinoma,55.4963
dbscan,5,skin cutaneous melanoma,0.3202
dbscan,5,head & neck squamous cell carcinoma,0.2134
dbscan,5,sarcoma,2.4546
dbscan,5,cervical & endocervical cancer,1.174
dbscan,5,lung squamous cell carcinoma,0.4269
dbscan,5,breast invasive carcinoma,0.3202
dbscan,5,ovarian serous cystadenocarcinoma,32.5507
dbscan,5,uterine carcinosarcoma,5.8698
dbscan,5,glioblastoma multiforme,0.2134
dbscan,5,lung adenocarcinoma,0.3202
dbscan,6,bladder urothelial carcinoma,0.4264
dbscan,6,skin cutaneous melanoma,96.8017
dbscan,6,head & neck squamous cell carcinoma,0.2132
dbscan,6,pancreatic adenocarcinoma,0.2132
dbscan,6,sarcoma,1.0661
dbscan,6,lung squamous cell carcinoma,0.2132
dbscan,6,breast invasive carcinoma,0.2132
dbscan,6,glioblastoma multiforme,0.2132
dbscan,6,thymoma,0.2132
dbscan,6,cholangiocarcinoma,0.2132
dbscan,6,esophageal carcinoma,0.2132
dbscan,7,bladder urothelial carcinoma,0.2235
dbscan,7,uterine corpus endometrioid carcinoma,0.2235
dbscan,7,pancreatic adenocarcinoma,13.4128
dbscan,7,sarcoma,0.149
dbscan,7,cervical & endocervical cancer,0.2981
dbscan,7,colon adenocarcinoma,33.7556
dbscan,7,lung squamous cell carcinoma,0.149
dbscan,7,rectum adenocarcinoma,11.9225
dbscan,7,liver hepatocellular carcinoma,0.149
dbscan,7,lung adenocarcinoma,0.0745
dbscan,7,pheochromocytoma & paraganglioma,0.0745
dbscan,7,testicular germ cell tumor,0.0745
dbscan,7,cholangiocarcinoma,0.2981
dbscan,7,esophageal carcinoma,7.079
dbscan,7,stomach adenocarcinoma,32.0417
dbscan,7,ovarian serous cystadenocarcinoma,0.0745
dbscan,8,diffuse large B-cell lymphoma,97.9592
dbscan,8,stomach adenocarcinoma,2.0408
dbscan,9,uterine corpus endometrioid carcinoma,13.8298
dbscan,9,sarcoma,79.7872
dbscan,9,cervical & endocervical cancer,2.1277
dbscan,9,liver hepatocellular carcinoma,2.1277
dbscan,9,breast invasive carcinoma,1.0638
dbscan,9,ovarian serous cystadenocarcinoma,1.0638
dbscan,10,uterine corpus endometrioid carcinoma,81.25
dbscan,10,skin cutaneous melanoma,6.25
dbscan,10,cervical & endocervical cancer,12.5
dbscan,11,uterine corpus endometrioid carcinoma,100.0
dbscan,12,uterine corpus endometrioid carcinoma,50.0
dbscan,12,lung squamous cell carcinoma,20.0
dbscan,12,uterine carcinosarcoma,10.0
dbscan,12,lung adenocarcinoma,10.0
dbscan,12,esophageal carcinoma,10.0
dbscan,13,skin cutaneous melanoma,16.6667
dbscan,13,head & neck squamous cell carcinoma,83.3333
dbscan,14,skin cutaneous melanoma,5.814
dbscan,14,brain lower grade glioma,1.1628
dbscan,14,uveal melanoma,93.0233
dbscan,15,skin cutaneous melanoma,0.3067
dbscan,15,sarcoma,0.1534
dbscan,15,lung squamous cell carcinoma,13.4969
dbscan,15,lung adenocarcinoma,85.5828
dbscan,15,mesothelioma,0.3067
dbscan,15,stomach adenocarcinoma,0.1534
dbscan,16,head & neck squamous cell carcinoma,0.1112
dbscan,16,breast invasive carcinoma,99.8888
dbscan,17,prostate adenocarcinoma,100.0
dbscan,18,prostate adenocarcinoma,100.0
dbscan,19,kidney papillary cell carcinoma,93.8849
dbscan,19,kidney clear cell carcinoma,6.1151
dbscan,20,kidney papillary cell carcinoma,13.3333
dbscan,20,kidney clear cell carcinoma,86.6667
dbscan,21,kidney papillary cell carcinoma,1.2295
dbscan,21,kidney clear cell carcinoma,98.7705
dbscan,22,kidney papillary cell carcinoma,50.0
dbscan,22,kidney clear cell carcinoma,10.0
dbscan,22,kidney chromophobe,40.0
dbscan,23,kidney papillary cell carcinoma,2.5641
dbscan,23,kidney clear cell carcinoma,20.5128
dbscan,23,kidney chromophobe,76.9231
dbscan,24,kidney papillary cell carcinoma,100.0
dbscan,25,kidney papillary cell carcinoma,25.1908
dbscan,25,sarcoma,0.7634
dbscan,25,kidney clear cell carcinoma,54.9618
dbscan,25,kidney chromophobe,19.084
dbscan,26,cervical & endocervical cancer,98.1818
dbscan,26,uterine corpus endometrioid carcinoma,1.8182
dbscan,27,cervical & endocervical cancer,0.5435
dbscan,27,breast invasive carcinoma,98.913
dbscan,27,esophageal carcinoma,0.5435
dbscan,28,colon adenocarcinoma,80.3922
dbscan,28,rectum adenocarcinoma,19.6078
dbscan,29,rectum adenocarcinoma,0.2174
dbscan,29,kidney clear cell carcinoma,0.2174
dbscan,29,liver hepatocellular carcinoma,90.6522
dbscan,29,breast invasive carcinoma,0.2174
dbscan,29,cholangiocarcinoma,8.6957
dbscan,30,breast invasive carcinoma,99.0741
dbscan,30,thymoma,0.9259
dbscan,31,breast invasive carcinoma,100.0
dbscan,32,glioblastoma multiforme,24.212
dbscan,32,brain lower grade glioma,75.788
dbscan,33,thyroid carcinoma,100.0
dbscan,34,thyroid carcinoma,100.0
dbscan,35,lung adenocarcinoma,1.2346
dbscan,35,mesothelioma,98.7654
dbscan,36,pheochromocytoma & paraganglioma,100.0
dbscan,37,testicular germ cell tumor,100.0
dbscan,38,testicular germ cell tumor,100.0
dbscan,39,thymoma,100.0
dbscan,40,thymoma,100.0
dbscan,41,acute myeloid leukemia,100.0
dbscan,42,acute myeloid leukemia,100.0
gmm_bic,9,adrenocortical cancer,29.0076
gmm_bic,9,pheochromocytoma & paraganglioma,70.9924
gmm_bic,4,adrenocortical cancer,0.4914
gmm_bic,4,bladder urothelial carcinoma,3.4398
gmm_bic,4,uterine corpus endometrioid carcinoma,3.1941
gmm_bic,4,skin cutaneous melanoma,1.7199
gmm_bic,4,head & neck squamous cell carcinoma,0.9828
gmm_bic,4,pancreatic adenocarcinoma,0.2457
gmm_bic,4,sarcoma,57.2482
gmm_bic,4,cervical & endocervical cancer,0.4914
gmm_bic,4,kidney clear cell carcinoma,0.9828
gmm_bic,4,liver hepatocellular carcinoma,0.9828
gmm_bic,4,breast invasive carcinoma,4.914
gmm_bic,4,uterine carcinosarcoma,0.2457
gmm_bic,4,kidney chromophobe,0.4914
gmm_bic,4,lung adenocarcinoma,0.4914
gmm_bic,4,mesothelioma,20.8845
gmm_bic,4,colon adenocarcinoma,0.2457
gmm_bic,4,ovarian serous cystadenocarcinoma,0.2457
gmm_bic,4,esophageal carcinoma,0.4914
gmm_bic,4,stomach adenocarcinoma,2.2113
gmm_bic,0,adrenocortical cancer,0.068
gmm_bic,0,bladder urothelial carcinoma,3.739
gmm_bic,0,uterine corpus endometrioid carcinoma,0.136
gmm_bic,0,skin cutaneous melanoma,0.068
gmm_bic,0,head & neck squamous cell carcinoma,37.5255
gmm_bic,0,pancreatic adenocarcinoma,0.068
gmm_bic,0,cervical & endocervical cancer,19.4426
gmm_bic,0,lung squamous cell carcinoma,30.5235
gmm_bic,0,breast invasive carcinoma,0.2039
gmm_bic,0,lung adenocarcinoma,0.6798
gmm_bic,0,thymoma,0.6118
gmm_bic,0,esophageal carcinoma,6.4582
gmm_bic,0,stomach adenocarcinoma,0.4759
gmm_bic,14,bladder urothelial carcinoma,97.4576
gmm_bic,14,kidney papillary cell carcinoma,1.1299
gmm_bic,14,cervical & endocervical cancer,0.2825
gmm_bic,14,lung squamous cell carcinoma,0.565
gmm_bic,14,esophageal carcinoma,0.2825
gmm_bic,14,stomach adenocarcinoma,0.2825
gmm_bic,8,bladder urothelial carcinoma,1.3196
gmm_bic,8,uterine corpus endometrioid carcinoma,78.5924
gmm_bic,8,skin cutaneous melanoma,0.5865
gmm_bic,8,head & neck squamous cell carcinoma,0.4399
gmm_bic,8,sarcoma,3.3724
gmm_bic,8,cervical & endocervical cancer,2.346
gmm_bic,8,lung squamous cell carcinoma,1.4663
gmm_bic,8,breast invasive carcinoma,0.4399
gmm_bic,8,uterine carcinosarcoma,8.0645
gmm_bic,8,glioblastoma multiforme,0.2933
gmm_bic,8,lung adenocarcinoma,0.7331
gmm_bic,8,ovarian serous cystadenocarcinoma,1.9062
gmm_bic,8,esophageal carcinoma,0.1466
gmm_bic,8,stomach adenocarcinoma,0.2933
gmm_bic,13,bladder urothelial carcinoma,0.3317
gmm_bic,13,diffuse large B-cell lymphoma,7.9602
gmm_bic,13,skin cutaneous melanoma,76.1194
gmm_bic,13,head & neck squamous cell carcinoma,0.1658
gmm_bic,13,pancreatic adenocarcinoma,0.1658
gmm_bic,13,sarcoma,0.8292
gmm_bic,13,lung squamous cell carcinoma,0.1658
gmm_bic,13,glioblastoma multiforme,0.1658
gmm_bic,13,brain lower grade glioma,0.1658
gmm_bic,13,uveal melanoma,13.267
gmm_bic,13,thymoma,0.1658
gmm_bic,13,cholangiocarcinoma,0.1658
gmm_bic,13,esophageal carcinoma,0.1658
gmm_bic,13,stomach adenocarcinoma,0.1658
gmm_bic,1,bladder urothelial carcinoma,0.1437
gmm_bic,1,uterine corpus endometrioid carcinoma,0.2155
gmm_bic,1,pancreatic adenocarcinoma,12.931
gmm_bic,1,sarcoma,0.1437
gmm_bic,1,cervical & endocervical cancer,0.2874
gmm_bic,1,colon adenocarcinoma,35.4885
gmm_bic,1,lung squamous cell carcinoma,0.1437
gmm_bic,1,rectum adenocarcinoma,12.2126
gmm_bic,1,liver hepatocellular carcinoma,0.1437
gmm_bic,1,lung adenocarcinoma,0.1437
gmm_bic,1,pheochromocytoma & paraganglioma,0.0718
gmm_bic,1,testicular germ cell tumor,0.0718
gmm_bic,1,cholangiocarcinoma,0.2874
gmm_bic,1,esophageal carcinoma,6.8247
gmm_bic,1,stomach adenocarcinoma,30.819
gmm_bic,1,ovarian serous cystadenocarcinoma,0.0718
gmm_bic,16,uterine corpus endometrioid carcinoma,4.2345
gmm_bic,16,ovarian serous cystadenocarcinoma,95.4397
gmm_bic,16,uterine carcinosarcoma,0.3257
gmm_bic,15,skin cutaneous melanoma,0.3344
gmm_bic,15,head & neck squamous cell carcinoma,1.6722
gmm_bic,15,cervical & endocervical cancer,0.3344
gmm_bic,15,breast invasive carcinoma,96.99
gmm_bic,15,thymoma,0.3344
gmm_bic,15,esophageal carcinoma,0.3344
gmm_bic,12,skin cutaneous melanoma,0.3067
gmm_bic,12,sarcoma,0.1534
gmm_bic,12,lung squamous cell carcinoma,13.6503
gmm_bic,12,lung adenocarcinoma,85.4294
gmm_bic,12,mesothelioma,0.3067
gmm_bic,12,stomach adenocarcinoma,0.1534
gmm_bic,5,head & neck squamous cell carcinoma,0.1107
gmm_bic,5,breast invasive carcinoma,99.8893
gmm_bic,7,prostate adenocarcinoma,100.0
gmm_bic,11,kidney papillary cell carcinoma,71.4286
gmm_bic,11,sarcoma,0.2381
gmm_bic,11,kidney clear cell carcinoma,21.4286
gmm_bic,11,kidney chromophobe,6.9048
gmm_bic,6,kidney papillary cell carcinoma,3.2203
gmm_bic,6,kidney clear cell carcinoma,86.6102
gmm_bic,6,kidney chromophobe,10.1695
gmm_bic,10,rectum adenocarcinoma,0.2179
gmm_bic,10,kidney clear cell carcinoma,0.2179
gmm_bic,10,liver hepatocellular carcinoma,90.8497
gmm_bic,10,cholangiocarcinoma,8.7146
gmm_bic,3,glioblastoma multiforme,24.212
gmm_bic,3,brain lower grade glioma,75.788
gmm_bic,2,thyroid carcinoma,100.0
gmm_bic,19,testicular germ cell tumor,100.0
gmm_bic,17,thymoma,100.0
gmm_bic,18,acute myeloid leukemia,100.0
hdbscan,5,adrenocortical cancer,95.0
hdbscan,5,pheochromocytoma & paraganglioma,5.0
hdbscan,34,adrenocortical cancer,1.9417
hdbscan,34,bladder urothelial carcinoma,6.7961
hdbscan,34,skin cutaneous melanoma,5.8252
hdbscan,34,head & neck squamous cell carcinoma,1.9417
hdbscan,34,pancreatic adenocarcinoma,0.9709
hdbscan,34,sarcoma,66.0194
hdbscan,34,kidney clear cell carcinoma,3.8835
hdbscan,34,liver hepatocellular carcinoma,1.9417
hdbscan,34,breast invasive carcinoma,2.9126
hdbscan,34,kidney chromophobe,1.9417
hdbscan,34,lung adenocarcinoma,0.9709
hdbscan,34,mesothelioma,2.9126
hdbscan,34,colon adenocarcinoma,0.9709
hdbscan,34,stomach adenocarcinoma,0.9709
hdbscan,49,bladder urothelial carcinoma,98.1343
hdbscan,49,kidney papillary cell carcinoma,1.4925
hdbscan,49,lung squamous cell carcinoma,0.3731
hdbscan,52,bladder urothelial carcinoma,89.4737
hdbscan,52,cervical & endocervical cancer,2.6316
hdbscan,52,lung squamous cell carcinoma,2.6316
